,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,train_loss,test_acc
0,0.0,0.0,0.0,0.0,0.39248390473085,0.0876190476190476
1,1.0,1.0,1.0,1.0,0.3685420845365766,0.1419047619047619
2,2.0,2.0,2.0,2.0,0.3621537785239631,0.2466666666666666
3,3.0,3.0,3.0,3.0,0.3080332365435392,0.4942857142857143
4,4.0,4.0,4.0,4.0,0.2275000332575764,0.599047619047619
5,5.0,5.0,5.0,5.0,0.1826242244031828,0.6428571428571429
6,6.0,6.0,6.0,6.0,0.159399752311295,0.6533333333333333
7,7.0,7.0,7.0,7.0,0.1432978049071912,0.6714285714285714
8,8.0,8.0,8.0,8.0,0.1309626833890295,0.6923809523809524
9,9.0,9.0,9.0,9.0,0.1208501694544317,0.6904761904761905
10,10.0,10.0,10.0,,0.1221053975487723,0.6704761904761904
11,11.0,11.0,11.0,,0.1138002679205787,0.6838095238095238
12,12.0,12.0,12.0,,0.1077256613425192,0.6876190476190476
13,13.0,13.0,13.0,,0.1032973237449142,0.7038095238095238
14,14.0,14.0,14.0,,0.0990303420475896,0.6961904761904761
15,15.0,15.0,15.0,,0.0954353587352079,0.699047619047619
16,16.0,16.0,16.0,,0.0912481229846852,0.7047619047619048
17,17.0,17.0,17.0,,0.0891836735651577,0.7095238095238096
18,18.0,18.0,,,0.0865053810973457,0.7057142857142857
19,19.0,19.0,,,0.0825770872498526,0.7295238095238096
20,20.0,,,,0.0813292804632695,0.7257142857142858
21,21.0,,,,0.0799335423611142,0.7171428571428572
22,,,,,0.08172077216624003,0.72
23,,,,,0.07857908005944364,0.7228571428571429
24,,,,,0.07722765131650237,0.7104761904761905
